.,areaID,. http://basicURL,site,. site name 1,. site name 2,. state province ...,*. main category,. activeURL
aub,372,http://auburn.craigslist.org,auburn,auburn,auburn,Alabama,*US*,auburn.craigslist.org
bhm,127,http://bham.craigslist.org,bham,birmingham,"birmingham, AL",Alabama,*US*,bham.craigslist.org
dhn,467,http://dothan.craigslist.org,dothan,dothan,"dothan, AL",Alabama,*US*,dothan.craigslist.org
msl,560,http://shoals.craigslist.org,shoals,florence / muscle shoals,florence / muscle shoals,Alabama,*US*,shoals.craigslist.org
anb,559,http://gadsden.craigslist.org,gadsden,gadsden-anniston,gadsden-anniston,Alabama,*US*,gadsden.craigslist.org
hsv,231,http://huntsville.craigslist.org,huntsville,huntsville / decatur,huntsville / decatur,Alabama,*US*,huntsville.craigslist.org
mob,200,http://mobile.craigslist.org,mobile,mobile,mobile,Alabama,*US*,mobile.craigslist.org
mgm,207,http://montgomery.craigslist.org,montgomery,montgomery,montgomery,Alabama,*US*,montgomery.craigslist.org
tsc,371,http://tuscaloosa.craigslist.org,tuscaloosa,tuscaloosa,tuscaloosa,Alabama,*US*,tuscaloosa.craigslist.org
anc,51,http://anchorage.craigslist.org,anchorage,anchorage / mat-su,anchorage / mat-su,Alaska,*US*,anchorage.craigslist.org
fai,677,http://fairbanks.craigslist.org,fairbanks,fairbanks,fairbanks,Alaska,*US*,fairbanks.craigslist.org
ena,678,http://kenai.craigslist.org,kenai,kenai peninsula,kenai peninsula,Alaska,*US*,kenai.craigslist.org
jnu,676,http://juneau.craigslist.org,juneau,southeast alaska,southeast alaska,Alaska,*US*,juneau.craigslist.org
flg,244,http://flagstaff.craigslist.org,flagstaff,flagstaff / sedona,flagstaff / sedona,Arizona,*US*,flagstaff.craigslist.org
mhv,565,http://mohave.craigslist.org,mohave,mohave county,mohave county,Arizona,*US*,mohave.craigslist.org
phx,18,http://phoenix.craigslist.org,phoenix,phoenix,phoenix,Arizona,*US*,phoenix.craigslist.org
prc,419,http://prescott.craigslist.org,prescott,prescott,prescott,Arizona,*US*,prescott.craigslist.org
sow,651,http://showlow.craigslist.org,showlow,show low,show low,Arizona,*US*,showlow.craigslist.org
fhu,468,http://sierravista.craigslist.org,sierravista,sierra vista,sierra vista,Arizona,*US*,sierravista.craigslist.org
tus,57,http://tucson.craigslist.org,tucson,tucson,tucson,Arizona,*US*,tucson.craigslist.org
yum,370,http://yuma.craigslist.org,yuma,yuma,yuma,Arizona,*US*,yuma.craigslist.org
fyv,293,http://fayar.craigslist.org,fayar,fayetteville,"fayetteville, AR",Arkansas,*US*,fayar.craigslist.org
fsm,358,http://fortsmith.craigslist.org,fortsmith,fort smith,"fort smith, AR",Arkansas,*US*,fortsmith.craigslist.org
jbr,425,http://jonesboro.craigslist.org,jonesboro,jonesboro,jonesboro,Arkansas,*US*,jonesboro.craigslist.org
lit,100,http://littlerock.craigslist.org,littlerock,little rock,little rock,Arkansas,*US*,littlerock.craigslist.org
txk,359,http://texarkana.craigslist.org,texarkana,texarkana,texarkana,Arkansas,*US*,texarkana.craigslist.org
bak,63,http://bakersfield.craigslist.org,bakersfield,bakersfield,bakersfield,California,*US*,bakersfield.craigslist.org
chc,187,http://chico.craigslist.org,chico,chico,chico,California,*US*,chico.craigslist.org
fre,43,http://fresno.craigslist.org,fresno,fresno / madera,fresno / madera,California,*US*,fresno.craigslist.org
gld,373,http://goldcountry.craigslist.org,goldcountry,gold country,gold country,California,*US*,goldcountry.craigslist.org
hnf,709,http://hanford.craigslist.org,hanford,hanford-corcoran,hanford-corcoran,California,*US*,hanford.craigslist.org
hmb,189,http://humboldt.craigslist.org,humboldt,humboldt county,humboldt county,California,*US*,humboldt.craigslist.org
imp,455,http://imperial.craigslist.org,imperial,imperial county,imperial county,California,*US*,imperial.craigslist.org
inl,104,http://inlandempire.craigslist.org,inlandempire,inland empire,inland empire,California,*US*,inlandempire.craigslist.org
lax,7,http://losangeles.craigslist.org,losangeles,los angeles,los angeles,California,*US*,losangeles.craigslist.org
mdo,454,http://mendocino.craigslist.org,mendocino,mendocino county,mendocino county,California,*US*,mendocino.craigslist.org
mer,285,http://merced.craigslist.org,merced,merced,merced,California,*US*,merced.craigslist.org
mod,96,http://modesto.craigslist.org,modesto,modesto,modesto,California,*US*,modesto.craigslist.org
mtb,102,http://monterey.craigslist.org,monterey,monterey bay,monterey bay,California,*US*,monterey.craigslist.org
orc,103,http://orangecounty.craigslist.org,orangecounty,orange county,orange county,California,*US*,orangecounty.craigslist.org
psp,209,http://palmsprings.craigslist.org,palmsprings,palm springs,"palm springs, CA",California,*US*,palmsprings.craigslist.org
rdd,188,http://redding.craigslist.org,redding,redding,redding,California,*US*,redding.craigslist.org
sac,12,http://sacramento.craigslist.org,sacramento,sacramento,sacramento,California,*US*,sacramento.craigslist.org
sdo,8,http://sandiego.craigslist.org,sandiego,san diego,san diego,California,*US*,sandiego.craigslist.org
slo,191,http://slo.craigslist.org,slo,san luis obispo,san luis obispo,California,*US*,slo.craigslist.org
sba,62,http://santabarbara.craigslist.org,santabarbara,santa barbara,santa barbara,California,*US*,santabarbara.craigslist.org
smx,710,http://santamaria.craigslist.org,santamaria,santa maria,santa maria,California,*US*,santamaria.craigslist.org
sfo,1,http://sfbay.craigslist.org,sfbay,san francisco bay area,SF bay area,California,*US*,sfbay.craigslist.org
ssk,708,http://siskiyou.craigslist.org,siskiyou,siskiyou county,siskiyou county,California,*US*,siskiyou.craigslist.org
stk,97,http://stockton.craigslist.org,stockton,stockton,stockton,California,*US*,stockton.craigslist.org
ssn,707,http://susanville.craigslist.org,susanville,susanville,susanville,California,*US*,susanville.craigslist.org
oxr,208,http://ventura.craigslist.org,ventura,ventura county,ventura county,California,*US*,ventura.craigslist.org
vis,346,http://visalia.craigslist.org,visalia,visalia-tulare,visalia-tulare,California,*US*,visalia.craigslist.org
ybs,456,http://yubasutter.craigslist.org,yubasutter,yuba-sutter,yuba-sutter,California,*US*,yubasutter.craigslist.org
bou,319,http://boulder.craigslist.org,boulder,boulder,boulder,Colorado,*US*,boulder.craigslist.org
cos,210,http://cosprings.craigslist.org,cosprings,colorado springs,colorado springs,Colorado,*US*,cosprings.craigslist.org
den,13,http://denver.craigslist.org,denver,denver,denver,Colorado,*US*,denver.craigslist.org
eco,713,http://eastco.craigslist.org,eastco,eastern CO,eastern CO,Colorado,*US*,eastco.craigslist.org
ftc,287,http://fortcollins.craigslist.org,fortcollins,fort collins / north CO,fort collins / north CO,Colorado,*US*,fortcollins.craigslist.org
rck,288,http://rockies.craigslist.org,rockies,high rockies,high rockies,Colorado,*US*,rockies.craigslist.org
pub,315,http://pueblo.craigslist.org,pueblo,pueblo,pueblo,Colorado,*US*,pueblo.craigslist.org
gjt,320,http://westslope.craigslist.org,westslope,western slope,western slope,Colorado,*US*,westslope.craigslist.org
nlo,281,http://newlondon.craigslist.org,newlondon,eastern CT,eastern CT,Connecticut,*US*,newlondon.craigslist.org
htf,44,http://hartford.craigslist.org,hartford,hartford,hartford,Connecticut,*US*,hartford.craigslist.org
hvn,168,http://newhaven.craigslist.org,newhaven,new haven,new haven,Connecticut,*US*,newhaven.craigslist.org
nct,354,http://nwct.craigslist.org,nwct,northwest CT,northwest CT,Connecticut,*US*,nwct.craigslist.org
dlw,193,http://delaware.craigslist.org,delaware,delaware,delaware,Delaware,*US*,delaware.craigslist.org
wdc,10,http://washingtondc.craigslist.org,washingtondc,washington,"washington, DC",District of Columbia,*US*,washingtondc.craigslist.org
dab,238,http://daytona.craigslist.org,daytona,daytona beach,daytona beach,Florida,*US*,daytona.craigslist.org
key,330,http://keys.craigslist.org,keys,florida keys,florida keys,Florida,*US*,keys.craigslist.org
mia,20,http://fortlauderdale.craigslist.org,fortlauderdale,fort lauderdale,fort lauderdale,Florida,*US*,fortlauderdale.craigslist.org
fmy,125,http://fortmyers.craigslist.org,fortmyers,ft myers / SW florida,ft myers / SW florida,Florida,*US*,fortmyers.craigslist.org
gnv,219,http://gainesville.craigslist.org,gainesville,gainesville,gainesville,Florida,*US*,gainesville.craigslist.org
cfl,639,http://cfl.craigslist.org,cfl,heartland florida,heartland florida,Florida,*US*,cfl.craigslist.org
jax,80,http://jacksonville.craigslist.org,jacksonville,jacksonville,jacksonville,Florida,*US*,jacksonville.craigslist.org
lal,376,http://lakeland.craigslist.org,lakeland,lakeland,lakeland,Florida,*US*,lakeland.craigslist.org
lcq,638,http://lakecity.craigslist.org,lakecity,north central FL,north central FL,Florida,*US*,lakecity.craigslist.org
oca,333,http://ocala.craigslist.org,ocala,ocala,ocala,Florida,*US*,ocala.craigslist.org
yps,640,http://okaloosa.craigslist.org,okaloosa,okaloosa / walton,okaloosa / walton,Florida,*US*,okaloosa.craigslist.org
orl,39,http://orlando.craigslist.org,orlando,orlando,orlando,Florida,*US*,orlando.craigslist.org
pfn,562,http://panamacity.craigslist.org,panamacity,panama city,"panama city, FL",Florida,*US*,panamacity.craigslist.org
pns,203,http://pensacola.craigslist.org,pensacola,pensacola,pensacola,Florida,*US*,pensacola.craigslist.org
srq,237,http://sarasota.craigslist.org,sarasota,sarasota-bradenton,sarasota-bradenton,Florida,*US*,sarasota.craigslist.org
mia,20,http://miami.craigslist.org,miami,south florida,south florida,Florida,*US*,miami.craigslist.org
mlb,331,http://spacecoast.craigslist.org,spacecoast,space coast,space coast,Florida,*US*,spacecoast.craigslist.org
ust,557,http://staugustine.craigslist.org,staugustine,st augustine,st augustine,Florida,*US*,staugustine.craigslist.org
tal,186,http://tallahassee.craigslist.org,tallahassee,tallahassee,tallahassee,Florida,*US*,tallahassee.craigslist.org
tpa,37,http://tampa.craigslist.org,tampa,tampa bay area,tampa bay area,Florida,*US*,tampa.craigslist.org
psl,332,http://treasure.craigslist.org,treasure,treasure coast,treasure coast,Florida,*US*,treasure.craigslist.org
mia,20,http://westpalmbeach.craigslist.org,westpalmbeach,west palm beach,west palm beach,Florida,*US*,westpalmbeach.craigslist.org
aby,637,http://albanyga.craigslist.org,albanyga,albany,"albany, GA",Georgia,*US*,albanyga.craigslist.org
ahn,258,http://athensga.craigslist.org,athensga,athens,"athens, GA",Georgia,*US*,athensga.craigslist.org
atl,14,http://atlanta.craigslist.org,atlanta,atlanta,atlanta,Georgia,*US*,atlanta.craigslist.org
aug,256,http://augusta.craigslist.org,augusta,augusta,augusta,Georgia,*US*,augusta.craigslist.org
bwk,570,http://brunswick.craigslist.org,brunswick,brunswick,"brunswick, GA",Georgia,*US*,brunswick.craigslist.org
csg,343,http://columbusga.craigslist.org,columbusga,columbus,"columbus, GA",Georgia,*US*,columbusga.craigslist.org
mcn,257,http://macon.craigslist.org,macon,macon / warner robins,macon / warner robins,Georgia,*US*,macon.craigslist.org
nwg,636,http://nwga.craigslist.org,nwga,northwest GA,northwest GA,Georgia,*US*,nwga.craigslist.org
sav,205,http://savannah.craigslist.org,savannah,savannah / hinesville,savannah / hinesville,Georgia,*US*,savannah.craigslist.org
tbr,635,http://statesboro.craigslist.org,statesboro,statesboro,statesboro,Georgia,*US*,statesboro.craigslist.org
vld,427,http://valdosta.craigslist.org,valdosta,valdosta,valdosta,Georgia,*US*,valdosta.craigslist.org
hnl,28,http://honolulu.craigslist.org,honolulu,hawaii,hawaii,Hawaii,*US*,honolulu.craigslist.org
boi,52,http://boise.craigslist.org,boise,boise,boise,Idaho,*US*,boise.craigslist.org
eid,424,http://eastidaho.craigslist.org,eastidaho,east idaho,east idaho,Idaho,*US*,eastidaho.craigslist.org
lws,654,http://lewiston.craigslist.org,lewiston,lewiston / clarkston,lewiston / clarkston,Idaho,*US*,lewiston.craigslist.org
twf,469,http://twinfalls.craigslist.org,twinfalls,twin falls,twin falls,Idaho,*US*,twinfalls.craigslist.org
bln,344,http://bn.craigslist.org,bn,bloomington-normal,bloomington-normal,Illinois,*US*,bn.craigslist.org
chm,190,http://chambana.craigslist.org,chambana,champaign urbana,champaign urbana,Illinois,*US*,chambana.craigslist.org
chi,11,http://chicago.craigslist.org,chicago,chicago,chicago,Illinois,*US*,chicago.craigslist.org
dil,569,http://decatur.craigslist.org,decatur,decatur,"decatur, IL",Illinois,*US*,decatur.craigslist.org
lsl,698,http://lasalle.craigslist.org,lasalle,la salle co,la salle co,Illinois,*US*,lasalle.craigslist.org
mto,699,http://mattoon.craigslist.org,mattoon,mattoon-charleston,mattoon-charleston,Illinois,*US*,mattoon.craigslist.org
pia,224,http://peoria.craigslist.org,peoria,peoria,peoria,Illinois,*US*,peoria.craigslist.org
rfd,223,http://rockford.craigslist.org,rockford,rockford,rockford,Illinois,*US*,rockford.craigslist.org
cbd,345,http://carbondale.craigslist.org,carbondale,southern illinois,southern illinois,Illinois,*US*,carbondale.craigslist.org
spi,225,http://springfieldil.craigslist.org,springfieldil,springfield,"springfield, IL",Illinois,*US*,springfieldil.craigslist.org
qcy,697,http://quincy.craigslist.org,quincy,western IL,western IL,Illinois,*US*,quincy.craigslist.org
bmg,229,http://bloomington.craigslist.org,bloomington,bloomington,"bloomington, IN",Indiana,*US*,bloomington.craigslist.org
ew,227,http://evansville.craigslist.org,evansville,evansville,evansville,Indiana,*US*,evansville.craigslist.org
fwa,226,http://fortwayne.craigslist.org,fortwayne,fort wayne,fort wayne,Indiana,*US*,fortwayne.craigslist.org
ind,45,http://indianapolis.craigslist.org,indianapolis,indianapolis,indianapolis,Indiana,*US*,indianapolis.craigslist.org
okk,672,http://kokomo.craigslist.org,kokomo,kokomo,kokomo,Indiana,*US*,kokomo.craigslist.org
laf,360,http://tippecanoe.craigslist.org,tippecanoe,lafayette / west lafayette,lafayette / west lafayette,Indiana,*US*,tippecanoe.craigslist.org
mun,361,http://muncie.craigslist.org,muncie,muncie / anderson,muncie / anderson,Indiana,*US*,muncie.craigslist.org
rin,671,http://richmondin.craigslist.org,richmondin,richmond,"richmond, IN",Indiana,*US*,richmondin.craigslist.org
sbn,228,http://southbend.craigslist.org,southbend,south bend / michiana,south bend / michiana,Indiana,*US*,southbend.craigslist.org
tha,348,http://terrehaute.craigslist.org,terrehaute,terre haute,terre haute,Indiana,*US*,terrehaute.craigslist.org
ame,445,http://ames.craigslist.org,ames,ames,"ames, IA",Iowa,*US*,ames.craigslist.org
ced,340,http://cedarrapids.craigslist.org,cedarrapids,cedar rapids,cedar rapids,Iowa,*US*,cedarrapids.craigslist.org
dsm,98,http://desmoines.craigslist.org,desmoines,des moines,des moines,Iowa,*US*,desmoines.craigslist.org
dbq,362,http://dubuque.craigslist.org,dubuque,dubuque,dubuque,Iowa,*US*,dubuque.craigslist.org
ftd,693,http://fortdodge.craigslist.org,fortdodge,fort dodge,fort dodge,Iowa,*US*,fortdodge.craigslist.org
iac,339,http://iowacity.craigslist.org,iowacity,iowa city,iowa city,Iowa,*US*,iowacity.craigslist.org
msc,692,http://masoncity.craigslist.org,masoncity,mason city,mason city,Iowa,*US*,masoncity.craigslist.org
mli,307,http://quadcities.craigslist.org,quadcities,quad cities,"quad cities, IA/IL",Iowa,*US*,quadcities.craigslist.org
sux,341,http://siouxcity.craigslist.org,siouxcity,sioux city,"sioux city, IA",Iowa,*US*,siouxcity.craigslist.org
otu,691,http://ottumwa.craigslist.org,ottumwa,southeast IA,southeast IA,Iowa,*US*,ottumwa.craigslist.org
wlo,567,http://waterloo.craigslist.org,waterloo,waterloo / cedar falls,waterloo / cedar falls,Iowa,*US*,waterloo.craigslist.org
lwr,347,http://lawrence.craigslist.org,lawrence,lawrence,lawrence,Kansas,*US*,lawrence.craigslist.org
mhk,428,http://ksu.craigslist.org,ksu,manhattan,"manhattan, KS",Kansas,*US*,ksu.craigslist.org
nwk,688,http://nwks.craigslist.org,nwks,northwest KS,northwest KS,Kansas,*US*,nwks.craigslist.org
sns,690,http://salina.craigslist.org,salina,salina,salina,Kansas,*US*,salina.craigslist.org
sek,689,http://seks.craigslist.org,seks,southeast KS,southeast KS,Kansas,*US*,seks.craigslist.org
swk,687,http://swks.craigslist.org,swks,southwest KS,southwest KS,Kansas,*US*,swks.craigslist.org
tpk,280,http://topeka.craigslist.org,topeka,topeka,topeka,Kansas,*US*,topeka.craigslist.org
wic,99,http://wichita.craigslist.org,wichita,wichita,wichita,Kansas,*US*,wichita.craigslist.org
blg,342,http://bgky.craigslist.org,bgky,bowling green,bowling green,Kentucky,*US*,bgky.craigslist.org
eky,674,http://eastky.craigslist.org,eastky,eastern kentucky,eastern kentucky,Kentucky,*US*,eastky.craigslist.org
lex,133,http://lexington.craigslist.org,lexington,lexington,"lexington, KY",Kentucky,*US*,lexington.craigslist.org
lou,58,http://louisville.craigslist.org,louisville,louisville,louisville,Kentucky,*US*,louisville.craigslist.org
owb,673,http://owensboro.craigslist.org,owensboro,owensboro,owensboro,Kentucky,*US*,owensboro.craigslist.org
wky,377,http://westky.craigslist.org,westky,western KY,western KY,Kentucky,*US*,westky.craigslist.org
btr,199,http://batonrouge.craigslist.org,batonrouge,baton rouge,baton rouge,Louisiana,*US*,batonrouge.craigslist.org
aex,644,http://cenla.craigslist.org,cenla,central louisiana,central louisiana,Louisiana,*US*,cenla.craigslist.org
hum,643,http://houma.craigslist.org,houma,houma,houma,Louisiana,*US*,houma.craigslist.org
lft,283,http://lafayette.craigslist.org,lafayette,lafayette,lafayette,Louisiana,*US*,lafayette.craigslist.org
lkc,284,http://lakecharles.craigslist.org,lakecharles,lake charles,lake charles,Louisiana,*US*,lakecharles.craigslist.org
mlu,563,http://monroemi.craigslist.org,monroemi,monroe,"monroe, LA",Louisiana,*US*,monroemi.craigslist.org
nor,31,http://neworleans.craigslist.org,neworleans,new orleans,new orleans,Louisiana,*US*,neworleans.craigslist.org
shv,206,http://shreveport.craigslist.org,shreveport,shreveport,shreveport,Louisiana,*US*,shreveport.craigslist.org
mne,169,http://maine.craigslist.org,maine,maine,maine,Maine,*US*,maine.craigslist.org
anp,460,http://annapolis.craigslist.org,annapolis,annapolis,annapolis,Maryland,*US*,annapolis.craigslist.org
bal,34,http://baltimore.craigslist.org,baltimore,baltimore,baltimore,Maryland,*US*,baltimore.craigslist.org
esh,328,http://easternshore.craigslist.org,easternshore,eastern shore,eastern shore,Maryland,*US*,easternshore.craigslist.org
fdk,633,http://frederick.craigslist.org,frederick,frederick,frederick,Maryland,*US*,frederick.craigslist.org
smd,556,http://smd.craigslist.org,smd,southern maryland,southern maryland,Maryland,*US*,smd.craigslist.org
wmd,329,http://westmd.craigslist.org,westmd,western maryland,western maryland,Maryland,*US*,westmd.craigslist.org
bos,4,http://boston.craigslist.org,boston,boston,boston,Massachusetts,*US*,boston.craigslist.org
cap,239,http://capecod.craigslist.org,capecod,cape cod / islands,cape cod / islands,Massachusetts,*US*,capecod.craigslist.org
sma,378,http://southcoast.craigslist.org,southcoast,south coast,south coast,Massachusetts,*US*,southcoast.craigslist.org
wma,173,http://westernmass.craigslist.org,westernmass,western massachusetts,western massachusetts,Massachusetts,*US*,westernmass.craigslist.org
wor,240,http://worcester.craigslist.org,worcester,worcester / central MA,worcester / central MA,Massachusetts,*US*,worcester.craigslist.org
aaa,172,http://annarbor.craigslist.org,annarbor,ann arbor,ann arbor,Michigan,*US*,annarbor.craigslist.org
btc,628,http://battlecreek.craigslist.org,battlecreek,battle creek,battle creek,Michigan,*US*,battlecreek.craigslist.org
cmu,434,http://centralmich.craigslist.org,centralmich,central michigan,central michigan,Michigan,*US*,centralmich.craigslist.org
det,22,http://detroit.craigslist.org,detroit,detroit metro,detroit metro,Michigan,*US*,detroit.craigslist.org
fnt,259,http://flint.craigslist.org,flint,flint,flint,Michigan,*US*,flint.craigslist.org
grr,129,http://grandrapids.craigslist.org,grandrapids,grand rapids,grand rapids,Michigan,*US*,grandrapids.craigslist.org
hld,630,http://holland.craigslist.org,holland,holland,holland,Michigan,*US*,holland.craigslist.org
jxn,426,http://jxn.craigslist.org,jxn,jackson,"jackson, MI",Michigan,*US*,jxn.craigslist.org
kzo,261,http://kalamazoo.craigslist.org,kalamazoo,kalamazoo,kalamazoo,Michigan,*US*,kalamazoo.craigslist.org
lan,212,http://lansing.craigslist.org,lansing,lansing,lansing,Michigan,*US*,lansing.craigslist.org
mnr,629,http://monroe.craigslist.org,monroe,monroe,monroe,Michigan,*US*,monroe.craigslist.org
mkg,554,http://muskegon.craigslist.org,muskegon,muskegon,muskegon,Michigan,*US*,muskegon.craigslist.org
nmi,309,http://nmi.craigslist.org,nmi,northern michigan,northern michigan,Michigan,*US*,nmi.craigslist.org
phn,555,http://porthuron.craigslist.org,porthuron,port huron,port huron,Michigan,*US*,porthuron.craigslist.org
mbs,260,http://saginaw.craigslist.org,saginaw,saginaw-midland-baycity,saginaw-midland-baycity,Michigan,*US*,saginaw.craigslist.org
swm,572,http://swmi.craigslist.org,swmi,southwest michigan,southwest michigan,Michigan,*US*,swmi.craigslist.org
thb,627,http://thumb.craigslist.org,thumb,the thumb,the thumb,Michigan,*US*,thumb.craigslist.org
yup,262,http://up.craigslist.org,up,upper peninsula,upper peninsula,Michigan,*US*,up.craigslist.org
bji,663,http://bemidji.craigslist.org,bemidji,bemidji,bemidji,Minnesota,*US*,bemidji.craigslist.org
brd,664,http://brainerd.craigslist.org,brainerd,brainerd,brainerd,Minnesota,*US*,brainerd.craigslist.org
dlh,255,http://duluth.craigslist.org,duluth,duluth / superior,duluth / superior,Minnesota,*US*,duluth.craigslist.org
mkt,421,http://mankato.craigslist.org,mankato,mankato,mankato,Minnesota,*US*,mankato.craigslist.org
min,19,http://minneapolis.craigslist.org,minneapolis,minneapolis / st paul,minneapolis / st paul,Minnesota,*US*,minneapolis.craigslist.org
rmn,316,http://rmn.craigslist.org,rmn,rochester,"rochester, MN",Minnesota,*US*,rmn.craigslist.org
mml,665,http://marshall.craigslist.org,marshall,southwest MN,southwest MN,Minnesota,*US*,marshall.craigslist.org
stc,369,http://stcloud.craigslist.org,stcloud,st cloud,st cloud,Minnesota,*US*,stcloud.craigslist.org
gpt,230,http://gulfport.craigslist.org,gulfport,gulfport / biloxi,gulfport / biloxi,Mississippi,*US*,gulfport.craigslist.org
usm,374,http://hattiesburg.craigslist.org,hattiesburg,hattiesburg,hattiesburg,Mississippi,*US*,hattiesburg.craigslist.org
jan,134,http://jackson.craigslist.org,jackson,jackson,"jackson, MS",Mississippi,*US*,jackson.craigslist.org
mei,641,http://meridian.craigslist.org,meridian,meridian,meridian,Mississippi,*US*,meridian.craigslist.org
nms,375,http://northmiss.craigslist.org,northmiss,north mississippi,north mississippi,Mississippi,*US*,northmiss.craigslist.org
hez,642,http://natchez.craigslist.org,natchez,southwest MS,southwest MS,Mississippi,*US*,natchez.craigslist.org
cou,222,http://columbiamo.craigslist.org,columbiamo,columbia / jeff city,columbia / jeff city,Missouri,*US*,columbiamo.craigslist.org
jln,423,http://joplin.craigslist.org,joplin,joplin,joplin,Missouri,*US*,joplin.craigslist.org
ksc,30,http://kansascity.craigslist.org,kansascity,kansas city,"kansas city, MO",Missouri,*US*,kansascity.craigslist.org
krk,696,http://kirksville.craigslist.org,kirksville,kirksville,kirksville,Missouri,*US*,kirksville.craigslist.org
loz,695,http://loz.craigslist.org,loz,lake of the ozarks,lake of the ozarks,Missouri,*US*,loz.craigslist.org
smo,566,http://semo.craigslist.org,semo,southeast missouri,southeast missouri,Missouri,*US*,semo.craigslist.org
